method,iteration,violation,accuracy,accuracy_rank,violation_rank
oxonfair,0,-0.04590788291483423,0.6609999999999999,1,1
21multi,0,-0.030734884155582124,0.6721428571428572,0,0
21multi,1,0.0,0.6442857142857144,0,0
oxonfair,1,0.0,0.6369999999999999,1,1
21multi,2,0.0,0.6805000000000001,0,0
oxonfair,2,-0.015632857628270477,0.672625,1,1
oxonfair,0,-0.012035355684809498,0.6609999999999999,1,1
oxonfair,1,0.0,0.6370000000000001,1,1
21multi,2,0.0,0.6798181818181818,0,0
oxonfair,2,-0.00650484199796126,0.6741250000000001,1,1
21multi,0,-0.029616228070175436,0.67275,0,0
21multi,1,0.0,0.6431111111111111,0,0
21multi,1,0.0,0.6433076923076924,0,0
oxonfair,2,-0.01695073054706083,0.6737,1,1
21multi,0,-0.02250192734552219,0.6719999999999999,0,0
oxonfair,0,-0.022930912186125675,0.661,1,1
oxonfair,1,0.0,0.637,1,1
21multi,2,0.0,0.6814000000000001,0,0
oxonfair,2,-0.02067957866123003,0.6726666666666666,1,1
oxonfair,1,0.0,0.637,1,1
21multi,0,-0.020868487685766737,0.6713636363636364,0,0
21multi,1,0.0,0.6423333333333333,0,0
21multi,2,0.0,0.6812500000000001,0,0
oxonfair,0,-0.024664649043993618,0.6609999999999998,1,1
oxonfair,2,-0.01695073054706083,0.6702999999999999,1,1
21multi,0,-0.02987024853801169,0.6725,0,0
oxonfair,0,-0.019585283964628535,0.6609999999999998,1,1
21multi,2,0.0,0.6793750000000001,0,0
oxonfair,1,0.0,0.637,1,1
21multi,1,0.0,0.6431428571428571,0,0
oxonfair,2,-0.014164272696382778,0.6703636363636364,1,1
21multi,0,-0.015547743178701482,0.672,0,0
21multi,1,0.0,0.6435000000000001,0,0
oxonfair,1,0.0,0.6370000000000001,1,1
oxonfair,0,-0.0378531233744739,0.6609999999999998,1,1
21multi,2,0.0,0.67925,0,0
oxonfair,0,-0.015612931700319969,0.6609999999999998,1,1
21multi,2,-0.0020098538905878346,0.6801666666666667,0,0
21multi,0,-0.02862816764132553,0.6736666666666667,0,0
oxonfair,1,0.0,0.6369999999999999,1,1
21multi,1,0.0,0.6429230769230769,0,0
oxonfair,2,-0.010407747196738017,0.6718999999999999,1,1
oxonfair,0,-0.035835815954981774,0.6609999999999999,1,1
21multi,0,-0.010663651397886756,0.6718333333333333,0,0
oxonfair,2,-0.006718201381809946,0.6729166666666666,1,1
oxonfair,1,0.0,0.637,1,1
21multi,1,0.0,0.6428888888888888,0,0
21multi,2,-0.004019707781175669,0.678,0,0
21multi,0,-0.030758490929791823,0.6706153846153845,0,0
oxonfair,2,-0.022831577755125163,0.6706,1,1
21multi,2,-0.002782874617737002,0.6793846153846155,0,0
oxonfair,1,0.0,0.6370000000000002,1,1
oxonfair,0,-0.011465456093062838,0.6609999999999999,1,1
21multi,1,0.0,0.6426363636363637,0,0
oxonfair,2,-0.004691811077132163,0.6738000000000002,1,1
21multi,0,-0.016108593461291246,0.6697777777777778,0,0
oxonfair,0,-0.01805303352721424,0.661,1,1
oxonfair,1,0.0,0.637,1,1
21multi,1,0.0,0.6436666666666668,0,0
21multi,2,-0.001855249745158001,0.679,0,0
oxonfair,0,-0.004038569837973993,0.6609999999999999,1,1
21multi,0,-0.01812815253542662,0.6715000000000001,0,0
21multi,1,0.0,0.643357142857143,0,0
21multi,2,-0.0017227319062181438,0.6798571428571429,0,0
oxonfair,2,-0.02662079510703364,0.6726249999999999,1,1
oxonfair,1,0.0,0.6370000000000001,1,1
oxonfair,2,-0.042376826367652075,0.67175,1,1
21multi,1,0.0,0.6443,0,0
oxonfair,0,-0.019406062325625376,0.661,1,1
21multi,0,-0.01878056481612838,0.6725,0,0
oxonfair,1,0.0,0.637,1,1
21multi,2,-0.0012059123343527006,0.6801000000000001,0,0
21multi,0,-0.026900138186136204,0.6724444444444445,0,0
oxonfair,2,-0.011179824064635484,0.6684444444444444,1,1
21multi,1,0.0,0.6442857142857144,0,0
21multi,2,0.0,0.6805000000000001,0,0
oxonfair,0,-0.031419397550479955,0.6609999999999999,1,1
oxonfair,1,0.0,0.6369999999999999,1,1
oxonfair,2,-0.0016756468132614868,0.6745714285714286,1,1
oxonfair,1,0.0,0.6370000000000001,1,1
21multi,0,-0.011463450292397658,0.6708,0,0
oxonfair,0,-0.026300829260114247,0.6609999999999999,1,1
21multi,1,0.0,0.64375,0,0
21multi,2,0.0,0.6808888888888889,0,0
21multi,1,0.0,0.6445555555555554,0,0
oxonfair,0,-0.03264352992257657,0.6609999999999999,1,1
21multi,2,-0.001096283940320637,0.679909090909091,0,0
21multi,0,-0.042869923761184925,0.6735555555555556,0,0
oxonfair,1,0.0,0.6370000000000002,1,1
oxonfair,2,-0.01612368331634387,0.6699999999999999,1,1
21multi,2,-0.0007536952089704379,0.6799375,0,0
21multi,0,-0.034357849752586586,0.6723076923076923,0,0
21multi,1,0.0,0.6443333333333333,0,0
oxonfair,0,0.0,0.6610000000000001,1,1
oxonfair,1,0.0,0.6370000000000002,1,1
oxonfair,2,-0.015211882918304937,0.67,1,1
21multi,1,0.0,0.6435000000000002,0,0
21multi,0,-0.022412280701754397,0.6731666666666666,0,0
21multi,2,-0.001096283940320637,0.681090909090909,0,0
oxonfair,0,-0.03049158535752377,0.6609999999999998,1,1
oxonfair,1,0.0,0.6370000000000001,1,1
oxonfair,2,-0.021296636085626913,0.6730999999999999,1,1
21multi,1,0.0,0.6423636363636365,0,0
oxonfair,0,-0.015953941457417114,0.6609999999999999,1,1
21multi,0,-0.02975278703835059,0.671,0,0
oxonfair,2,-0.015509683995922521,0.6711250000000001,1,1
oxonfair,1,0.0,0.6370000000000001,1,1
21multi,2,0.0,0.68125,0,0
21multi,2,0.0,0.681,0,0
oxonfair,0,-0.00998228517592966,0.6609999999999998,1,1
oxonfair,1,0.0,0.637,1,1
21multi,1,0.0,0.644142857142857,0,0
oxonfair,2,-0.010576509230943469,0.6683333333333334,1,1
21multi,0,-0.06249584259390613,0.6737500000000001,0,0
21multi,1,0.0,0.6432,0,0
oxonfair,0,-0.019553382731138422,0.6609999999999998,1,1
21multi,2,-0.0010049269452939173,0.6798333333333333,0,0
oxonfair,1,0.0,0.6370000000000001,1,1
oxonfair,2,-0.02012368331634387,0.6733999999999999,1,1
21multi,0,-0.03434594303718766,0.6722222222222223,0,0
oxonfair,2,-0.007518858307849122,0.6723999999999999,1,1
21multi,0,-0.023755685510071466,0.672,0,0
oxonfair,0,-0.027442426821771393,0.661,1,1
21multi,1,0.0,0.6431111111111112,0,0
oxonfair,1,0.0,0.6370000000000002,1,1
21multi,2,0.0,0.6806666666666668,0,0
21multi,1,0.0,0.6431666666666667,0,0
oxonfair,0,-0.03293091218612567,0.6609999999999999,1,1
oxonfair,2,-0.014125608789217358,0.6725,1,1
21multi,2,-0.001339902593725223,0.6800000000000002,0,0
21multi,0,-0.028225677830940987,0.6729090909090908,0,0
oxonfair,1,0.0,0.6370000000000002,1,1
oxonfair,0,-0.029911425879648294,0.6609999999999998,1,1
21multi,2,0.0,0.6818000000000002,0,0
21multi,1,0.0,0.644388888888889,0,0
oxonfair,2,-0.010741226154070175,0.6737142857142857,1,1
oxonfair,1,0.0,0.6370000000000002,1,1
21multi,0,-0.037996674075124914,0.6726,0,0
oxonfair,0,-0.02784949795873329,0.6609999999999999,1,1
21multi,0,-0.025186532739544014,0.670470588235294,0,0
oxonfair,1,0.0,0.6370000000000001,1,1
21multi,2,-0.001339902593725223,0.6795555555555555,0,0
oxonfair,2,-0.01754239644147901,0.6732727272727271,1,1
21multi,1,0.0,0.6428571428571429,0,0
oxonfair,0,-0.016628284547847597,0.6609999999999999,1,1
21multi,0,-0.04054093567251462,0.6719999999999999,0,0
21multi,2,0.0,0.6796666666666668,0,0
oxonfair,2,-0.010077302072714919,0.6718750000000001,1,1
oxonfair,1,0.0,0.6370000000000001,1,1
21multi,1,0.0,0.6430769230769232,0,0
oxonfair,0,-0.01718384010340315,0.661,1,1
oxonfair,2,-0.011234794427454975,0.6705000000000001,1,1
21multi,2,0.0,0.6826666666666669,0,0
oxonfair,1,0.0,0.637,1,1
21multi,1,0.0,0.6437777777777778,0,0
21multi,0,-0.0396516814272879,0.6732857142857144,0,0
oxonfair,0,-0.019331820116328547,0.661,1,1
21multi,0,-0.028818145118211316,0.6699999999999999,0,0
oxonfair,1,0.0,0.6369999999999999,1,1
21multi,2,-0.0007536952089704379,0.6801875000000002,0,0
oxonfair,2,-0.009417072526144906,0.6714444444444445,1,1
21multi,1,0.0,0.6426363636363637,0,0
oxonfair,0,-0.016831820116328545,0.661,1,1
21multi,2,-0.001339902593725223,0.6802222222222224,0,0
21multi,1,0.0,0.6430000000000001,0,0
oxonfair,2,-0.002932381923207602,0.6742500000000001,1,1
21multi,0,-0.013805707928101173,0.6709999999999999,0,0
oxonfair,0,-0.016100701681635132,0.6609999999999998,1,1
21multi,0,-0.019811850555809522,0.672,0,0
21multi,2,0.0,0.6822000000000001,0,0
oxonfair,2,-0.00973793747876316,0.6728750000000002,1,1
oxonfair,1,0.0,0.637,1,1
21multi,1,0.0,0.6435000000000001,0,0
21multi,1,0.0,0.6425714285714286,0,0
oxonfair,2,-0.009841269841269849,0.6742857142857143,1,1
oxonfair,1,0.0,0.637,1,1
oxonfair,0,-0.012236833011410946,0.6609999999999998,1,1
21multi,2,0.0,0.680625,0,0
21multi,0,-0.020375309342538745,0.6721538461538461,0,0
21multi,0,-0.022335485814466285,0.6728888888888889,0,0
21multi,2,0.0,0.6799333333333334,0,0
oxonfair,0,-0.03077576015510473,0.6609999999999999,1,1
oxonfair,2,-0.025890976166205528,0.6727142857142857,1,1
oxonfair,1,0.0,0.637,1,1
21multi,1,0.0,0.6444545454545455,0,0
21multi,2,-0.0030147808358817517,0.6795,0,0
oxonfair,0,-0.0437993306116444,0.661,1,1
oxonfair,2,-0.008061841658171936,0.6725,1,1
21multi,1,0.0,0.6433333333333333,0,0
oxonfair,1,0.0,0.6370000000000001,1,1
21multi,0,-0.021625987137655463,0.6704,0,0
oxonfair,1,0.0,0.637,1,1
oxonfair,0,-0.012648020632131841,0.6609999999999998,1,1
21multi,2,0.0,0.6805000000000001,0,0
21multi,1,0.0,0.6428888888888888,0,0
21multi,0,-0.01027749067187286,0.6708571428571428,0,0
oxonfair,2,-0.008061841658171936,0.6708000000000001,1,1
oxonfair,1,0.0,0.6370000000000002,1,1
oxonfair,0,-0.02439326828601902,0.661,1,1
oxonfair,2,-0.02308698606863744,0.668,1,1
21multi,1,0.0,0.6440000000000001,0,0
21multi,0,-0.007865497076023388,0.67,0,0
21multi,2,-0.0017227319062181438,0.6805714285714287,0,0
21multi,2,0.0,0.6812500000000001,0,0
21multi,1,0.0,0.6435454545454546,0,0
oxonfair,0,-0.01718384010340315,0.661,1,1
oxonfair,1,0.0,0.637,1,1
21multi,0,-0.028171366196263346,0.672,0,0
oxonfair,2,-0.0172842991191615,0.6733076923076923,1,1
oxonfair,2,-0.008354287008721246,0.6739999999999999,1,1
21multi,0,-0.01814781788253204,0.6708571428571429,0,0
oxonfair,0,-0.030322613500369192,0.6609999999999998,1,1
21multi,2,-0.003014780835881752,0.6796666666666668,0,0
oxonfair,1,0.0,0.6370000000000001,1,1
21multi,1,0.0,0.6445555555555555,0,0
oxonfair,0,-0.05631342507211422,0.6610000000000001,1,1
oxonfair,1,0.0,0.6370000000000002,1,1
21multi,0,-0.022588317563491347,0.6725454545454546,0,0
oxonfair,2,-0.002932381923207602,0.6742500000000001,1,1
21multi,1,0.0,0.6435555555555557,0,0
21multi,2,0.0,0.6805714285714285,0,0
oxonfair,0,-0.03160269646863488,0.661,1,1
21multi,2,0.0,0.6805000000000001,0,0
21multi,1,0.0,0.6426923076923077,0,0
oxonfair,1,0.0,0.637,1,1
21multi,0,-0.03475146198830409,0.6733333333333333,0,0
oxonfair,2,-0.005288254615471734,0.6716666666666665,1,1
oxonfair,2,-0.008395267661322705,0.6724545454545454,1,1
oxonfair,1,0.0,0.637,1,1
21multi,1,0.0,0.6435714285714287,0,0
21multi,0,-0.02413092917478883,0.6726666666666666,0,0
oxonfair,0,-0.026442426821771392,0.6609999999999999,1,1
21multi,2,-0.001855249745158001,0.6788461538461541,0,0
21multi,0,-0.033165204678362564,0.6735,0,0
oxonfair,0,-0.0436636402326571,0.661,1,1
21multi,2,-0.003215766224940535,0.6800000000000002,0,0
oxonfair,2,-0.009398572884811402,0.67175,1,1
21multi,1,0.0,0.6427777777777778,0,0
oxonfair,1,0.0,0.6370000000000002,1,1
oxonfair,0,-0.02439326828601902,0.661,1,1
21multi,1,0.0,0.6431666666666666,0,0
21multi,0,-0.015338404974700908,0.66975,0,0
21multi,2,-0.0024118246687054013,0.6795000000000002,0,0
oxonfair,2,-0.012483104919394417,0.6718888888888889,1,1
oxonfair,1,0.0,0.637,1,1
21multi,0,-0.032987041646425956,0.6725454545454544,0,0
oxonfair,1,0.0,0.6370000000000001,1,1
21multi,2,0.0,0.68,0,0
21multi,1,0.0,0.6433636363636362,0,0
oxonfair,0,-0.02379300937394282,0.6609999999999998,1,1
oxonfair,2,-0.004920634920634924,0.6722142857142857,1,1
21multi,0,-0.03270965838337983,0.67225,0,0
oxonfair,2,-0.010213449479504522,0.6724545454545454,1,1
21multi,1,0.0,0.6435714285714287,0,0
21multi,2,-0.0010049269452939173,0.6797500000000002,0,0
