method,iteration,violation,accuracy,accuracy_rank,violation_rank
21multi,1,-0.09520822257664369,0.50427007604245,0,1
21multi,2,-0.02907496331866083,0.6784281774880921,0,1
oxonfair,1,-0.03413005654632454,0.600701930308348,1,0
oxonfair,0,-0.026282051282051307,0.6443103149044488,1,0
21multi,0,-0.006770833333333374,0.711916102615526,0,1
oxonfair,2,-0.04197178871548622,0.6381298571070443,1,0
oxonfair,1,-0.05124035985280008,0.5907316549081403,1,0
oxonfair,0,-0.04583333333333339,0.6356981699674102,1,0
21multi,2,-0.022486137312067722,0.5224367009275508,0,1
21multi,1,-0.10395711500974662,0.6359822846160273,0,1
oxonfair,2,-0.03822328931572631,0.5283279017297569,1,0
21multi,0,-0.01250000000000003,0.5894125511824183,0,1
21multi,1,-0.14916600212652853,0.6409501128102282,0,1
oxonfair,0,-0.060625000000000054,0.6069691652043119,1,0
oxonfair,1,-0.059166122952008154,0.4735836049135122,1,0
oxonfair,2,-0.07390556222489003,0.6292805214339434,1,0
21multi,0,-0.009077380952380976,0.5992192815958172,0,1
21multi,2,-0.028132919834600544,0.6324684549176903,0,1
oxonfair,2,-0.05430886640370437,0.6633599541596533,1,0
oxonfair,1,-0.05075498664015415,0.6779357518891237,1,0
21multi,0,-0.01015625000000002,0.6110867385309601,0,1
oxonfair,0,-0.06750000000000007,0.44810729506141894,1,0
21multi,2,-0.022477324263038567,0.5187808139049052,0,1
21multi,1,-0.0770171349118718,0.5964093564996047,0,1
21multi,1,-0.1407595693779905,0.6889257959388317,0,1
21multi,0,-0.012847222222222288,0.6768613687641013,0,1
oxonfair,1,-0.03881881011067618,0.6318156179493607,1,0
21multi,2,-0.028840107471560104,0.608208287075171,0,1
oxonfair,2,-0.038855542216886786,0.6353472048132363,1,0
oxonfair,0,-0.03503787878787883,0.6666970532601014,1,0
21multi,2,-0.03188831087990759,0.7102587671652599,0,1
21multi,0,-0.008779761904761938,0.6572180639616086,0,1
21multi,1,-0.12550239234449767,0.6898721484081223,0,1
oxonfair,0,-0.02682291666666671,0.7151228378039609,1,0
oxonfair,1,-0.07176567451687074,0.5975898005228665,1,0
oxonfair,2,-0.06301409452669961,0.6942703545862232,1,0
oxonfair,0,-0.029166666666666688,0.6207382802707445,1,0
21multi,0,-0.009469696969697006,0.6358850475170356,0,1
oxonfair,2,-0.0745178071228492,0.6107044372023063,1,0
21multi,2,-0.03018707482993201,0.6941171555109885,0,1
21multi,1,-0.12866493886230734,0.6396496615693157,0,1
oxonfair,1,-0.03441592963124068,0.6194714035024891,1,0
oxonfair,1,-0.04552744349395072,0.5907286705105707,1,0
21multi,1,-0.14725146198830416,0.6681624467285033,0,1
21multi,0,-0.007916666666666693,0.6790423665078966,0,1
21multi,2,-0.028407613045218126,0.6479380797192278,0,1
oxonfair,0,-0.02578125000000006,0.6961017798947104,1,0
oxonfair,2,-0.04474789915966391,0.7639759338179996,1,0
21multi,2,-0.03164902324566196,0.6991271451035802,0,1
21multi,1,-0.11558821295663406,0.6149052752211438,0,1
21multi,0,-0.0038194444444444864,0.6970000835631319,0,1
oxonfair,0,-0.0352678571428572,0.6057013931167854,1,0
oxonfair,2,-0.0518947579031613,0.659012283780396,1,0
oxonfair,1,-0.09534633952496796,0.5975878109244869,1,0
oxonfair,0,-0.040416666666666726,0.5455753321634494,1,0
21multi,0,-0.01961805555555558,0.5260299156012367,0,1
21multi,2,-0.02984749455337696,0.6008746274477034,0,1
oxonfair,1,-0.05726012424577023,0.5455579767437376,1,0
oxonfair,2,-0.02632871330350325,0.5970737710522118,1,0
21multi,1,-0.16766081871345034,0.6646778641263474,0,1
oxonfair,0,-0.054166666666666696,0.6170301662906326,1,0
21multi,0,-0.009722222222222262,0.6384850004178156,0,1
21multi,1,-0.14357484620642522,0.6876052000143252,0,1
oxonfair,1,-0.06998211782900783,0.5278891952870394,1,0
oxonfair,2,-0.050391823396025125,0.655970585777555,1,0
21multi,2,-0.026938775510204127,0.6873151165705691,0,1
oxonfair,2,-0.04758364884415309,0.6456023294830013,1,0
oxonfair,1,-0.03798062649737296,0.47810049063496046,1,0
oxonfair,0,-0.03993055555555559,0.6269950697752151,1,0
21multi,1,-0.1890977443609023,0.7474841528489059,0,1
21multi,2,-0.032816459917300256,0.713294894292638,0,1
21multi,0,-0.007083333333333368,0.709133450321718,0,1
21multi,2,-0.03119914632519681,0.6932118882482383,0,1
oxonfair,0,-0.03611111111111114,0.6780312526113479,1,0
oxonfair,1,-0.04728142670726408,0.5818222333639732,1,0
oxonfair,2,-0.05036014405762309,0.7405782568730674,1,0
21multi,0,-0.0133680555555556,0.5954708782485167,0,1
21multi,1,-0.09734516214779379,0.5059225369766859,0,1
oxonfair,0,-0.04839743589743595,0.5950402067223325,1,0
21multi,1,-0.1745405179615707,0.7094688966085306,0,1
oxonfair,1,-0.03554594992992126,0.590812233642517,1,0
21multi,0,-0.010227272727272751,0.6055516306205702,0,1
21multi,2,-0.026602307589702594,0.6220648449903902,0,1
oxonfair,2,-0.04540616246498604,0.6676610679368263,1,0
21multi,1,-0.09430887825624674,0.5839057407871646,0,1
oxonfair,2,-0.05541383219954652,0.7101403860616696,1,0
oxonfair,0,-0.03263888888888892,0.6565973092671513,1,0
21multi,0,-0.0033854166666666963,0.738374279267987,0,1
oxonfair,1,-0.06266009376057227,0.6570011977382245,1,0
21multi,2,-0.02910497532346275,0.6589370769616446,0,1
oxonfair,2,-0.04299356106078798,0.6477358189566763,1,0
oxonfair,0,-0.047048611111111166,0.5848792512743378,1,0
21multi,0,-0.004861111111111149,0.7240745383136961,0,1
21multi,2,-0.030434173669467834,0.7496866382552018,0,1
21multi,1,-0.16472620946305164,0.6895097882814102,0,1
oxonfair,1,-0.05303084003243497,0.6244951394111584,1,0
oxonfair,2,-0.03898832260176799,0.5607238086556211,1,0
21multi,2,-0.028193095419986217,0.6379133526288201,0,1
oxonfair,1,-0.05187279493499594,0.6208892636568746,1,0
21multi,1,-0.0782296650717704,0.582978190022562,0,1
oxonfair,0,-0.03125000000000006,0.596461698241593,1,0
21multi,0,-0.009114583333333343,0.638380546502883,0,1
21multi,1,-0.1627905852786236,0.6911278743818229,0,1
oxonfair,0,-0.059226190476190536,0.5225799520108871,1,0
21multi,0,-0.01375000000000004,0.6245174229130107,0,1
21multi,2,-0.023933209647495405,0.5800496820802662,0,1
oxonfair,2,-0.05952380952380957,0.7158614762024139,1,0
oxonfair,1,-0.06422216583699843,0.6684841647864962,1,0
21multi,1,-0.12066387559808621,0.64583855602908,0,1
21multi,0,-0.00648148148148152,0.6664159772708281,0,1
oxonfair,0,-0.043452380952380985,0.6260072341797084,1,0
oxonfair,1,-0.08747825141365816,0.6353722737528202,1,0
oxonfair,2,-0.051946111778044576,0.6569232054817415,1,0
21multi,2,-0.029431772709083665,0.672126124620484,0,1
21multi,1,-0.10083732057416274,0.6294184006016544,0,1
oxonfair,0,-0.022916666666666717,0.7402105790925043,1,0
21multi,2,-0.025943104514533147,0.6202055653045876,0,1
21multi,0,-0.013636363636363698,0.5651222680553339,0,1
oxonfair,2,-0.03854541816726692,0.5923372608005348,1,0
oxonfair,1,-0.04594606350587216,0.6809225369766858,1,0
oxonfair,2,-0.046218487394958,0.6728002005515166,1,0
21multi,2,-0.026629223117818606,0.5855925222934498,0,1
21multi,0,-0.013194444444444486,0.5571154006852178,0,1
oxonfair,1,-0.07850011277044777,0.6297108715634663,1,0
oxonfair,0,-0.04250000000000005,0.5781398846828779,1,0
21multi,1,-0.09964114832535889,0.6567122085735774,0,1
21multi,1,-0.1135765550239235,0.6701763182084065,0,1
oxonfair,2,-0.04786200194363466,0.7287182609318482,1,0
21multi,2,-0.025056689342403658,0.6512631960112532,0,1
oxonfair,0,-0.029761904761904785,0.6792608244099846,1,0
21multi,0,-0.015416666666666712,0.5372023063424417,0,1
oxonfair,1,-0.040441825826775864,0.5006267234895964,1,0
oxonfair,0,-0.0260416666666667,0.7194158937076961,1,0
21multi,0,-0.006250000000000022,0.6073201303584859,0,1
21multi,1,-0.10132110579479006,0.5679869641514163,0,1
21multi,2,-0.037026239067055426,0.7377430791820363,0,1
oxonfair,2,-0.04600147751408257,0.668742889098868,1,0
oxonfair,1,-0.04772485621767921,0.6191401353722739,1,0
oxonfair,0,-0.043333333333333404,0.6109801955377286,1,0
21multi,2,-0.01921768707482994,0.5826857190607504,0,1
oxonfair,1,-0.022598454177401583,0.6692057002911854,1,0
oxonfair,2,-0.045040873492254066,0.5201446835941697,1,0
21multi,1,-0.14312200956937804,0.6351424751399682,0,1
21multi,0,-0.018229166666666685,0.46596891451491607,0,1
oxonfair,1,-0.044002662554206734,0.5067800086601791,1,0
oxonfair,0,-0.0401041666666667,0.6472591292721651,1,0
21multi,1,-0.15276744048673876,0.6643547533494889,0,1
21multi,2,-0.027440206851971606,0.7017953217501977,0,1
21multi,0,-0.006994047619047665,0.666439852451384,0,1
oxonfair,2,-0.0655895691609978,0.7307595888693909,1,0
oxonfair,0,-0.06805555555555559,0.4723406033258127,1,0
21multi,1,-0.16383040935672524,0.6802958134870896,0,1
21multi,2,-0.026808223289315786,0.6473426924041112,0,1
oxonfair,2,-0.03029497513291035,0.6143322708877986,1,0
21multi,0,-0.005357142857142878,0.6638076137950792,0,1
oxonfair,1,-0.03086998063074623,0.5687756715583239,1,0
21multi,1,-0.14673223462697155,0.6546837135455836,0,1
21multi,0,-0.016435185185185237,0.5721010556809003,0,1
oxonfair,1,-0.08851130926489785,0.655208072198546,1,0
oxonfair,0,-0.033035714285714335,0.6019768649500411,1,0
oxonfair,2,-0.0514334305150632,0.7207678258066827,1,0
21multi,2,-0.024829931972789137,0.5404147118862587,0,1
21multi,1,-0.13028752436647179,0.6299824517422913,0,1
oxonfair,2,-0.059120791173612366,0.6824839737850519,1,0
oxonfair,1,-0.057721822155634005,0.5641068493913819,1,0
21multi,0,-0.0014880952380952486,0.7244207284317588,0,1
oxonfair,0,-0.03333333333333339,0.6517088660482994,1,0
21multi,2,-0.035264105642256925,0.7463274003509651,0,1
21multi,2,-0.024809923969587866,0.5931937829029832,0,1
oxonfair,1,-0.0634972129589355,0.5767945182585444,1,0
21multi,0,-0.011458333333333362,0.6242479318124843,0,1
oxonfair,0,-0.06562500000000003,0.536517088660483,1,0
oxonfair,2,-0.045936152238673277,0.643352552853681,1,0
21multi,1,-0.1098591174906965,0.6207570819754324,0,1
oxonfair,1,-0.07045243100865115,0.5547129606417648,1,0
21multi,2,-0.029971988795518247,0.672580365235166,0,1
21multi,1,-0.1115857826384143,0.6133295133044444,0,1
21multi,0,-0.003750000000000031,0.7505640511406367,0,1
oxonfair,0,-0.03674242424242429,0.6894642083912577,1,0
oxonfair,2,-0.054025610244097654,0.7124091250940084,1,0
oxonfair,2,-0.049415766306522634,0.612333918275257,1,0
21multi,2,-0.03918233960250771,0.7534330520041225,0,1
21multi,0,-0.006640625000000018,0.6270525194284281,0,1
