method,iteration,violation,accuracy,accuracy_rank,violation_rank
21multi,1,-0.13381642512077305,0.7546458090641815,0,0
21multi,2,-0.03974618149146453,0.5915412595392625,0,0
21multi,0,0.0,0.6725438158551644,0,0
oxonfair,2,-0.0897727272727273,0.7131575364226388,1,1
oxonfair,0,0.0,0.7148166638930493,1,1
oxonfair,1,-0.1949275362318841,0.7519554002329839,1,1
oxonfair,2,-0.07125000000000004,0.6057413879181228,1,1
21multi,1,-0.11894409937888206,0.6610798088581413,0,0
21multi,0,0.0,0.696704942586121,0,0
21multi,2,-0.06534448256146372,0.6828393772976897,0,0
oxonfair,0,-0.005050505050505046,0.7213624008431798,1,1
oxonfair,1,-0.17201086956521744,0.6721792311532702,1,1
oxonfair,2,-0.07187500000000002,0.7205441837244133,1,1
oxonfair,1,-0.19630434782608708,0.6791812281577634,1,1
oxonfair,0,-0.006493506493506488,0.6860423650238927,1,1
21multi,1,-0.129192546583851,0.7147136438199843,0,0
21multi,2,-0.08317610062893087,0.7235300894811629,0,0
21multi,0,0.0,0.7431929029532625,0,0
21multi,2,-0.08907232704402518,0.6738642036944583,0,0
oxonfair,1,-0.19685990338164258,0.7569201752926166,1,1
21multi,1,-0.12391304347826093,0.6805902257724524,0,0
oxonfair,2,-0.13888888888888895,0.6931824485493983,1,1
21multi,0,0.0,0.7419779421776426,0,0
oxonfair,0,-0.003246753246753244,0.7260181156836175,1,1
21multi,1,-0.10802675585284288,0.7230308383578479,0,0
oxonfair,2,-0.08860619469026554,0.5731402895656516,1,1
oxonfair,0,-0.006493506493506488,0.7072961985593039,1,1
21multi,0,0.0,0.7052546180728906,0,0
21multi,2,-0.10000000000000005,0.7524213679480778,0,0
oxonfair,1,-0.15962732919254666,0.7403180942871407,1,1
21multi,2,-0.07678571428571433,0.7116468154910491,0,0
21multi,1,-0.10953177257525087,0.695226391182457,0,0
oxonfair,0,-0.007575757575757569,0.6688300882010317,1,1
oxonfair,1,-0.11884057971014499,0.653741609807511,1,1
21multi,0,0.0,0.7001497753369944,0,0
oxonfair,2,-0.024269911504424792,0.582526210683974,1,1
21multi,2,-0.06406250000000004,0.6952071892161757,0,0
oxonfair,1,-0.15913043478260874,0.6694458312531204,1,1
oxonfair,0,-0.006493506493506488,0.6726695670779546,1,1
21multi,0,0.0,0.6589615576635047,0,0
oxonfair,2,-0.07307692307692311,0.6384653788547948,1,1
21multi,1,-0.1252173913043479,0.7145282076884673,0,0
oxonfair,1,-0.17246376811594208,0.7019470793809287,1,1
oxonfair,2,-0.08750000000000002,0.6692104700092718,1,1
21multi,2,-0.08352630074328192,0.701720147052149,0,0
oxonfair,0,-0.015151515151515138,0.6138569922893438,1,1
21multi,1,-0.12474916387959875,0.7317101271170169,0,0
21multi,0,0.0,0.7030454318522217,0,0
21multi,2,-0.07083333333333337,0.7218339157929772,0,0
oxonfair,1,-0.21548913043478268,0.6810409385921118,1,1
oxonfair,0,-0.0037878787878787845,0.7178815110667333,1,1
21multi,1,-0.10838509316770192,0.7115754939020041,0,0
21multi,0,0.0,0.7413879181228158,0,0
oxonfair,2,-0.10625000000000004,0.6900149775336997,1,1
oxonfair,2,-0.16041666666666674,0.7001164919287736,1,1
21multi,2,-0.05417321802935013,0.6558495589948411,0,0
21multi,0,0.0,0.7048593776002662,0,0
oxonfair,0,0.0,0.7389852720918624,1,1
21multi,1,-0.11141304347826092,0.6817898152770843,0,0
oxonfair,1,-0.13260869565217398,0.6732678759638321,1,1
