min_recall,equal_opportunity,accuracy,threshold
0.6613333333333333,0.03530158730158731,0.669,0.01
0.6613333333333333,0.03530158730158731,0.669,0.017
0.6613333333333333,0.03530158730158731,0.669,0.024
0.6613333333333333,0.03530158730158731,0.669,0.031
0.6613333333333333,0.03530158730158731,0.669,0.038
0.712,0.020571428571428612,0.671,0.045
0.712,0.020571428571428612,0.671,0.052
0.712,0.020571428571428612,0.671,0.059
0.712,0.020571428571428612,0.671,0.06599999999999999
0.712,0.020571428571428612,0.671,0.073
0.712,0.020571428571428612,0.671,0.07999999999999999
0.712,0.020571428571428612,0.671,0.08699999999999998
0.712,0.020571428571428612,0.671,0.09399999999999999
0.712,0.020571428571428612,0.671,0.10099999999999999
0.712,0.020571428571428612,0.671,0.10799999999999998
0.712,0.020571428571428612,0.671,0.11499999999999998
0.712,0.020571428571428612,0.671,0.12199999999999998
0.712,0.020571428571428612,0.671,0.129
0.712,0.020571428571428612,0.671,0.136
0.712,0.020571428571428612,0.671,0.143
0.712,0.020571428571428612,0.671,0.15
