min_recall,equal_opportunity,accuracy,threshold
0.09174311926605505,0.012911994563370702,0.541,0.01
0.9722222222222222,0.018518518518518528,0.546,0.017
0.9138888888888889,0.020370370370370372,0.596,0.024
0.8527777777777777,0.04259259259259259,0.626,0.031
0.8527777777777777,0.04259259259259259,0.626,0.038
0.75,0.07407407407407411,0.641,0.045
0.75,0.07407407407407411,0.641,0.052
0.7194444444444444,0.07592592592592595,0.65,0.059
0.6944444444444444,0.07407407407407411,0.645,0.06599999999999999
0.6944444444444444,0.07407407407407411,0.645,0.073
0.6611111111111111,0.09629629629629632,0.643,0.07999999999999999
0.6555555555555556,0.10000000000000002,0.653,0.08699999999999998
0.6527777777777778,0.04629629629629628,0.659,0.09399999999999999
0.6527777777777778,0.04629629629629628,0.659,0.10099999999999999
0.6527777777777778,0.04629629629629628,0.659,0.10799999999999998
0.6111111111111112,0.014610941216445758,0.658,0.11499999999999998
0.6055045871559633,0.007441386340468907,0.657,0.12199999999999998
0.6055045871559633,0.007441386340468907,0.657,0.129
0.6055045871559633,0.007441386340468907,0.657,0.136
0.6055045871559633,0.007441386340468907,0.657,0.143
0.6055045871559633,0.007441386340468907,0.657,0.15
