min_recall,equal_opportunity,accuracy,threshold
0.9473684210526315,0.024306048139216035,0.565,0.01
0.9375,0.006578947368421018,0.603,0.017
0.6354166666666666,0.10270467836257313,0.665,0.024
0.625,0.09210526315789476,0.664,0.031
0.65625,0.106359649122807,0.666,0.038
0.65625,0.106359649122807,0.666,0.045
0.59375,0.09539473684210524,0.665,0.052
0.59375,0.09539473684210524,0.665,0.059
0.59375,0.09539473684210524,0.665,0.06599999999999999
0.59375,0.09539473684210524,0.665,0.073
0.59375,0.09539473684210524,0.665,0.07999999999999999
0.59375,0.09539473684210524,0.665,0.08699999999999998
0.59375,0.09539473684210524,0.665,0.09399999999999999
0.59375,0.09539473684210524,0.665,0.10099999999999999
0.59375,0.09539473684210524,0.665,0.10799999999999998
0.59375,0.09539473684210524,0.665,0.11499999999999998
0.59375,0.09539473684210524,0.665,0.12199999999999998
0.59375,0.09539473684210524,0.665,0.129
0.59375,0.09539473684210524,0.665,0.136
0.59375,0.09539473684210524,0.665,0.143
0.59375,0.09539473684210524,0.665,0.15
