min_recall,equal_opportunity,accuracy,threshold
0.9973045822102425,0.0017969451931716396,0.513,0.01
0.75,0.06140350877192979,0.668,0.017
0.6145833333333334,0.08150584795321632,0.67,0.024
0.6145833333333334,0.08150584795321632,0.67,0.031
0.59375,0.06030701754385966,0.669,0.038
0.59375,0.06030701754385966,0.669,0.045
0.65625,0.08881578947368422,0.672,0.052
0.4791666666666667,0.10160818713450288,0.656,0.059
0.4791666666666667,0.10160818713450288,0.656,0.06599999999999999
0.4791666666666667,0.10160818713450288,0.656,0.073
0.4791666666666667,0.10160818713450288,0.656,0.07999999999999999
0.4791666666666667,0.10160818713450288,0.656,0.08699999999999998
0.4791666666666667,0.10160818713450288,0.656,0.09399999999999999
0.4791666666666667,0.10160818713450288,0.656,0.10099999999999999
0.4791666666666667,0.10160818713450288,0.656,0.10799999999999998
0.4791666666666667,0.10160818713450288,0.656,0.11499999999999998
0.4791666666666667,0.10160818713450288,0.656,0.12199999999999998
0.4791666666666667,0.10160818713450288,0.656,0.129
0.4791666666666667,0.10160818713450288,0.656,0.136
0.4791666666666667,0.10160818713450288,0.656,0.143
0.4791666666666667,0.10160818713450288,0.656,0.15
