min_recall,equal_opportunity,accuracy,threshold
0.5596330275229358,0.16394835202174654,0.647,0.5
0.7522935779816514,0.09106354060482495,0.633,0.55
0.7522935779816514,0.09106354060482495,0.633,0.6
0.7522935779816514,0.09106354060482495,0.633,0.65
0.7522935779816514,0.09106354060482495,0.633,0.7
0.7522935779816514,0.09106354060482495,0.633,0.75
0.825,0.061111111111111116,0.599,0.8
0.8807339449541285,0.04247366632687729,0.58,0.8500000000000001
0.9174311926605505,0.055045871559632996,0.564,0.9
0.9805555555555555,0.01296296296296299,0.515,0.95
1.0,0.0,0.505,1.0
