min_recall,equal_opportunity,accuracy,threshold
0.6444444444444445,0.03333333333333329,0.682,0.5
0.6444444444444445,0.03333333333333329,0.682,0.55
0.6444444444444445,0.03333333333333329,0.682,0.6
0.6880733944954128,0.022765885151206255,0.688,0.65
0.7083333333333334,0.04629629629629628,0.679,0.7
0.7444444444444445,0.11481481481481477,0.658,0.75
0.7777777777777778,0.09259259259259256,0.657,0.8
0.8194444444444444,0.06481481481481481,0.647,0.8500000000000001
0.9027777777777778,0.027777777777777752,0.603,0.9
0.9527777777777777,0.03148148148148152,0.57,0.95
1.0,0.0,0.508,1.0
