min_recall,equal_opportunity,accuracy,threshold
0.5768194070080862,0.07159407953846886,0.664,0.5
0.5768194070080862,0.07159407953846886,0.664,0.55
0.5768194070080862,0.07159407953846886,0.664,0.6
0.6666666666666666,0.11695906432748537,0.679,0.65
0.6770833333333334,0.11001461988304088,0.676,0.7
0.7395833333333334,0.08589181286549707,0.65,0.75
0.875,0.030701754385964897,0.625,0.8
0.875,0.030701754385964897,0.625,0.8500000000000001
0.8854166666666666,0.023757309941520477,0.62,0.9
0.9210526315789473,0.018489620277107877,0.587,0.95
1.0,0.0,0.512,1.0
