min_recall,equal_opportunity,accuracy,threshold
0.5729166666666666,0.07419590643274858,0.664,0.5
0.59375,0.06030701754385966,0.669,0.55
0.6145833333333334,0.08150584795321632,0.67,0.6
0.65625,0.08881578947368422,0.672,0.65
0.7291666666666666,0.0752923976608187,0.672,0.7
0.78125,0.05811403508771932,0.652,0.75
0.8333333333333334,0.04093567251461986,0.634,0.8
0.8541666666666666,0.027046783625731024,0.617,0.8500000000000001
0.9380053908355795,0.0066075172207247235,0.595,0.9
0.9473684210526315,0.007309941520467896,0.585,0.95
1.0,0.0,0.509,1.0
