min_recall,equal_opportunity,accuracy,threshold
0.5416666666666666,0.07748538011695912,0.631,0.5
0.628032345013477,0.037452120868208295,0.642,0.55
0.6954177897574124,0.050277029050613965,0.634,0.6
0.7105263157894737,0.05409356725146197,0.624,0.65
0.7631578947368421,0.03983918128654965,0.609,0.7
0.7631578947368421,0.03983918128654965,0.609,0.75
0.889487870619946,0.004230308475591545,0.584,0.8
0.9299191374663073,0.011998352800239568,0.565,0.8500000000000001
0.9299191374663073,0.011998352800239568,0.565,0.9
0.9622641509433962,0.01821278825995809,0.529,0.95
0.9946091644204852,0.003593890386343205,0.507,1.0
