min_recall,equal_opportunity,accuracy,threshold
0.6,0.11282051282051286,0.7465530208072199,0.5
0.6,0.11282051282051286,0.7465530208072199,0.55
0.6,0.11282051282051286,0.7465530208072199,0.6
0.65,0.12638888888888888,0.6412634745550263,0.65
0.65,0.12638888888888888,0.6412634745550263,0.7
0.9,0.04957264957264954,0.5114063675106543,0.75
0.9,0.04957264957264954,0.5114063675106543,0.8
0.9,0.06666666666666665,0.4189019804462271,0.8500000000000001
0.95,0.03333333333333336,0.33091000250689395,0.9
1.0,0.0,0.15091501629481072,0.95
1.0,0.0,0.1351215843569817,1.0
