min_recall,equal_opportunity,accuracy,threshold
0.45,0.1444444444444444,0.6417648533467034,0.5
0.5,0.17948717948717952,0.5755828528453246,0.55
0.5,0.17948717948717952,0.5755828528453246,0.6
0.65,0.09658119658119653,0.503634996239659,0.65
0.65,0.09658119658119653,0.503634996239659,0.7
0.8375,0.0741452991452991,0.4344447229882176,0.75
0.8916666666666667,0.03888888888888883,0.3665078967159689,0.8
0.8916666666666667,0.03888888888888883,0.3665078967159689,0.8500000000000001
0.9333333333333333,0.027350427350427326,0.30533968413136126,0.9
0.95,0.03333333333333336,0.21860115317122086,0.95
0.99375,0.004166666666666652,0.1511657056906493,1.0
