min_recall,equal_opportunity,accuracy,threshold
0.6875,0.10351153039832288,0.7174238642036944,0.5
0.6875,0.11609014675052413,0.7039440838741887,0.55
0.6875,0.12866876310272538,0.6979530703944083,0.6
0.75,0.09958071278825997,0.672491263105342,0.65
0.875,0.0539832285115304,0.5966050923614579,0.7
0.875,0.0539832285115304,0.5966050923614579,0.75
0.875,0.07075471698113207,0.5242136794807788,0.8
0.9911504424778761,0.005899705014749272,0.3914128806789815,0.8500000000000001
1.0,0.0,0.3225162256615077,0.9
1.0,0.0,0.17124313529705443,0.95
1.0,0.0,0.17124313529705443,1.0
