min_recall,equal_opportunity,accuracy,threshold
0.5,0.2746331236897275,0.7099350973539691,0.5
0.5,0.28721174004192873,0.7069395906140788,0.55
0.5,0.29559748427672955,0.6919620569146281,0.6
0.625,0.23322851153039834,0.6495257114328508,0.65
0.6875,0.19156184486373165,0.6395406889665501,0.7
0.875,0.0749475890985325,0.5521717423864204,0.75
0.9375,0.03747379454926625,0.47728407388916627,0.8
0.9375,0.03747379454926625,0.47728407388916627,0.8500000000000001
1.0,0.0,0.14378432351472792,0.9
1.0,0.0,0.14378432351472792,0.95
1.0,0.0,0.14378432351472792,1.0
