min_recall,equal_opportunity,accuracy,threshold
0.375,0.2783018867924529,0.7763354967548677,0.5
0.4375,0.2408280922431866,0.7708437343984024,0.55
0.5,0.22851153039832287,0.7533699450823764,0.6
0.625,0.17872117400419288,0.7329006490264603,0.65
0.875,0.0749475890985325,0.6440339490763854,0.7
0.875,0.0749475890985325,0.6050923614578133,0.75
0.9375,0.03747379454926625,0.5601597603594608,0.8
0.9375,0.03747379454926625,0.5217174238642037,0.8500000000000001
0.9823008849557522,0.011799410029498544,0.4852720918622067,0.9
1.0,0.0,0.163255117324014,0.95
1.0,0.0,0.163255117324014,1.0
