method,iteration,violation,accuracy,accuracy_rank,violation_rank
21multi,1,-0.09412955465587049,0.5925718803633068,0,0
21multi,2,-0.03600894903415914,0.6161489550810182,0,0
21multi,0,-0.009114583333333356,0.6846640762095764,0,0
21multi,2,-0.040276110444177726,0.3339182752569566,0,0
21multi,1,-0.05338345864661657,0.5815993983454499,0,0
21multi,0,-0.007083333333333353,0.4009526197041865,0,0
21multi,0,0.0,0.44687891702181004,0,0
21multi,1,-0.11912280701754391,0.6118826773627474,0,0
21multi,2,-0.04101140456182475,0.687327651040361,0,0
21multi,0,-0.008194444444444468,0.6560040110303335,0,0
21multi,2,-0.04222689075630255,0.5455251942842818,0,0
21multi,1,-0.10375939849624063,0.6989936611395624,0,0
21multi,2,-0.02692076830732295,0.5776886437703685,0,0
21multi,1,-0.12868421052631582,0.6681875156680872,0,0
21multi,0,-0.004166666666666676,0.6639369376897579,0,0
21multi,1,-0.1628947368421053,0.735397342692404,0,0
21multi,2,-0.026761473820297366,0.5827564263262432,0,0
21multi,0,-0.01770833333333338,0.6848207570819755,0,0
21multi,2,-0.040750300120048044,0.628127350213086,0,0
21multi,1,-0.06602870813397131,0.5498757947993345,0,0
21multi,0,-0.002564102564102572,0.6375224174171279,0,0
21multi,0,-0.009027777777777801,0.5481741455669759,0,0
21multi,1,-0.10701754385964916,0.7248823152558425,0,0
21multi,2,-0.05882352941176472,0.666332414138882,0,0
21multi,1,-0.10131578947368425,0.5962897969415895,0,0
21multi,0,-0.00972222222222225,0.5624634411297736,0,0
21multi,2,-0.039147659063625495,0.5528954625219353,0,0
21multi,0,-0.007638888888888908,0.5987716219603911,0,0
21multi,2,-0.08186274509803924,0.6033258126514581,0,0
21multi,1,-0.08399122807017546,0.5701094677028496,0,0
21multi,1,-0.11789473684210527,0.6504554190691068,0,0
21multi,2,-0.03553421368547422,0.5348318988329015,0,0
21multi,0,-0.011363636363636393,0.5647804188791905,0,0
21multi,0,-0.008143939393939415,0.6420839125777706,0,0
21multi,2,-0.06169083017822518,0.5131997608808839,0,0
21multi,1,-0.03890977443609025,0.5078788095834975,0,0
21multi,2,-0.05251243354484653,0.6730294022848547,0,0
21multi,0,-0.00885416666666669,0.6370017548257709,0,0
21multi,1,-0.035645933014354085,0.5542058843638187,0,0
21multi,2,-0.04209865764487615,0.6533193555003532,0,0
21multi,0,-0.005416666666666681,0.6123589872148407,0,0
21multi,1,-0.11763157894736849,0.6176234645274505,0,0
21multi,2,-0.02895158063225291,0.7390741204980363,0,0
21multi,0,-0.004734848484848498,0.5696574671255044,0,0
21multi,1,-0.07779605263157897,0.5427738781649536,0,0
21multi,0,-0.011363636363636393,0.6256523621778072,0,0
21multi,2,-0.014792583700146751,0.6531572936686998,0,0
21multi,1,-0.08349282296650723,0.671049932769662,0,0
21multi,1,-0.12587719298245617,0.6473635831870979,0,0
21multi,2,-0.05408763505402164,0.562697417899223,0,0
21multi,0,-0.007083333333333353,0.6891451491601905,0,0
21multi,2,-0.044007603041216516,0.49218684716303157,0,0
21multi,1,-0.044360902255639136,0.4944311141353007,0,0
21multi,0,-0.005787037037037053,0.6112643101863457,0,0
21multi,0,-0.00416666666666668,0.6190147906743546,0,0
21multi,1,-0.07982456140350881,0.5697891423637225,0,0
21multi,2,-0.04528211284513808,0.6671346202055654,0,0
21multi,1,-0.05219298245614038,0.6238823431102198,0,0
21multi,0,-0.006510416666666685,0.6165392328904487,0,0
21multi,2,-0.037088835534213695,0.5974680371020306,0,0
21multi,0,-0.005416666666666681,0.6334419654048633,0,0
21multi,2,-0.05120798319327734,0.5999623965906241,0,0
21multi,1,-0.1278947368421053,0.5986964151416394,0,0
21multi,0,-0.006770833333333351,0.5790611682125846,0,0
21multi,2,-0.037057322929171674,0.7081348708949611,0,0
21multi,1,-0.07763157894736845,0.43331662070694404,0,0
21multi,1,-0.08442982456140356,0.6316746051642016,0,0
21multi,0,-0.011197916666666696,0.7327337678616196,0,0
21multi,2,-0.06106156748413653,0.7023242488271318,0,0
21multi,2,-0.03494254844795064,0.6835941696809081,0,0
21multi,0,-0.007954545454545476,0.5269718999977211,0,0
21multi,1,-0.10578947368421054,0.6761594384557533,0,0
21multi,0,-0.002083333333333338,0.5090108910615303,0,0
21multi,2,-0.043744164332399645,0.6631013063702961,0,0
21multi,1,-0.032894736842105275,0.6006204562547004,0,0
21multi,2,-0.042416966786714694,0.6862204395420739,0,0
21multi,0,-0.007083333333333353,0.6241413888192529,0,0
21multi,1,-0.09291497975708508,0.5145110592591163,0,0
21multi,2,-0.050820328131252514,0.6393624133032506,0,0
21multi,0,-0.012689393939393974,0.6256751521228835,0,0
21multi,1,-0.040935672514619915,0.49725634383443357,0,0
21multi,2,-0.016794717887154875,0.660065179242918,0,0
21multi,1,-0.11650717703349288,0.6246723945395293,0,0
21multi,0,-0.00687500000000002,0.5872399097518175,0,0
21multi,1,-0.11028708133971298,0.5828528453246428,0,0
21multi,2,-0.06862745098039218,0.691610261552603,0,0
21multi,0,-0.002529761904761912,0.5932385488665257,0,0
21multi,2,-0.03748499399759907,0.6028829280521435,0,0
21multi,0,-0.0035416666666666765,0.4365755828528453,0,0
21multi,1,-0.0991228070175439,0.6136597866354698,0,0
21multi,0,-0.0018750000000000045,0.4548759087490599,0,0
21multi,2,-0.06227490996398563,0.5377287540737027,0,0
21multi,1,-0.08736842105263161,0.562496866382552,0,0
21multi,2,-0.039667867146858764,0.670142892955628,0,0
21multi,0,-0.011631944444444478,0.6004637753823013,0,0
21multi,1,-0.09298245614035093,0.4980362663992646,0,0
21multi,1,-0.09868421052631583,0.6184925210996908,0,0
21multi,0,-0.006828703703703722,0.5532854238043509,0,0
21multi,2,-0.04808468842082291,0.5977574694044986,0,0
21multi,1,-0.11531100478468903,0.6027028874860411,0,0
21multi,2,-0.053568700207355706,0.6000592538571982,0,0
21multi,0,-0.007291666666666687,0.6419110888276093,0,0
21multi,2,-0.040756302521008404,0.7072449235397342,0,0
21multi,0,-0.01770833333333338,0.7745048884432189,0,0
21multi,1,-0.08468899521531104,0.5875247840652704,0,0
21multi,2,-0.07732593037214891,0.5972674855853597,0,0
21multi,0,-0.007738095238095258,0.5783583425849658,0,0
21multi,1,-0.050375939849624095,0.47179744296816245,0,0
21multi,1,-0.12500000000000003,0.6960892454249186,0,0
21multi,0,-0.009114583333333356,0.5540549009776887,0,0
21multi,2,-0.03132878151260507,0.5373840561544246,0,0
21multi,2,-0.0467512004801921,0.6480007520681875,0,0
21multi,0,-0.00972222222222225,0.704130804155873,0,0
21multi,1,-0.09572368421052635,0.6044434695412383,0,0
21multi,2,-0.011236494597839175,0.5446477813988468,0,0
21multi,1,-0.0685855263157895,0.60242228628729,0,0
21multi,0,-0.003720238095238106,0.5414353758550299,0,0
21multi,1,-0.11937799043062204,0.7293694022197404,0,0
21multi,2,-0.028996213870163472,0.6435775305166129,0,0
21multi,0,-0.00416666666666668,0.6051015292053146,0,0
21multi,1,-0.11628289473684214,0.5822731260967661,0,0
21multi,2,-0.057736427904495166,0.49252109969081637,0,0
21multi,0,-0.002083333333333338,0.5452494359488593,0,0
21multi,2,-0.05054021608643459,0.6246821616588475,0,0
21multi,1,-0.07220394736842108,0.5972831536725997,0,0
21multi,0,-0.005902777777777794,0.48715216846327386,0,0
21multi,2,-0.03692888920273994,0.5453821538643032,0,0
21multi,1,-0.08496240601503761,0.5838197901371628,0,0
21multi,0,-0.006730769230769249,0.6571147578918951,0,0
21multi,1,-0.09035087719298247,0.5258627893373444,0,0
21multi,2,-0.039272072465349805,0.6428131908202102,0,0
21multi,0,-0.009375000000000022,0.4623965906242166,0,0
21multi,2,-0.02933840202747768,0.5967243252277096,0,0
21multi,1,-0.07894736842105267,0.6495780061836719,0,0
21multi,0,-0.0027777777777777866,0.5930057658561043,0,0
21multi,1,-0.09941520467836261,0.6432411353444193,0,0
21multi,2,-0.04360144057623052,0.596406785326314,0,0
21multi,0,-0.00885416666666669,0.6724743043369266,0,0
21multi,2,-0.045336596176932316,0.6545307287347899,0,0
21multi,0,-0.012037037037037068,0.5976992284337483,0,0
21multi,1,-0.08706140350877196,0.5548591961226708,0,0
21multi,0,-0.012500000000000035,0.6910074132435627,0,0
21multi,1,-0.049013157894736856,0.641827525695663,0,0
21multi,2,-0.06156462585034016,0.6325450544553076,0,0
21multi,2,-0.03856542617046821,0.6537143812150078,0,0
21multi,1,-0.11368421052631583,0.7250188017046878,0,0
21multi,0,0.0,0.485585359739283,0,0
21multi,1,-0.09425837320574165,0.5076688165181523,0,0
21multi,0,-0.008173076923076946,0.7070790828624873,0,0
