method,iteration,violation,accuracy,accuracy_rank,violation_rank
21multi,1,-0.010468353393924565,0.782714816663893,0,0
21multi,2,-0.27222222222222225,0.7423864203694459,0,0
21multi,0,-0.11363636363636367,0.7109335996005991,0,0
21multi,0,-0.10000000000000005,0.72690963554668,0,0
21multi,2,-0.22321428571428578,0.7005206476000285,0,0
21multi,1,-0.007928027511667915,0.7614411715759694,0,0
21multi,1,-0.007862366079020484,0.700756557471485,0,0
21multi,0,-0.06969696969696966,0.5782992178399068,0,0
21multi,2,-0.1666666666666667,0.6168247628557164,0,0
21multi,2,-0.2454545454545455,0.7554123360413925,0,0
21multi,1,-0.011234954556620028,0.6972874022299882,0,0
21multi,0,-0.09462809917355375,0.7338537648073346,0,0
21multi,0,-0.11818181818181824,0.7635689323158121,0,0
21multi,2,-0.23906250000000007,0.7113704443334997,0,0
21multi,1,-0.01136172228655651,0.73147421724556,0,0
21multi,0,-0.11033057851239675,0.7237325829437663,0,0
21multi,1,-0.007045770899860841,0.7897043323903032,0,0
21multi,2,-0.25288461538461543,0.725872729367487,0,0
21multi,0,-0.10681818181818188,0.7451323015476785,0,0
21multi,2,-0.2760416666666667,0.7475453486437011,0,0
21multi,1,-0.013916728076639694,0.6780828756864703,0,0
21multi,0,-0.10681818181818185,0.7113080379430853,0,0
21multi,2,-0.22968750000000004,0.6004118821767348,0,0
21multi,1,-0.007914517317612436,0.7274588117823264,0,0
21multi,1,-0.00828029744757826,0.749466709027368,0,0
21multi,0,-0.10757575757575764,0.7224995839573971,0,0
21multi,2,-0.2750000000000001,0.7754701281411217,0,0
21multi,1,-0.014179562760992434,0.7026959560659011,0,0
21multi,2,-0.29583333333333334,0.792394741221501,0,0
21multi,0,-0.07636363636363638,0.6624063904143783,0,0
21multi,2,-0.22062500000000013,0.688167748377434,0,0
21multi,1,-0.008103045934659834,0.7656015976035947,0,0
21multi,0,-0.11250000000000009,0.7467548676984522,0,0
21multi,0,-0.11761363636363643,0.7349600599101349,0,0
21multi,1,-0.02385944932002414,0.6086325057867744,0,0
21multi,2,-0.30357142857142866,0.8215533842094002,0,0
21multi,2,-0.2741666666666667,0.7131303045431853,0,0
21multi,1,-0.01124772136679212,0.7453030979846021,0,0
21multi,0,-0.11363636363636369,0.7649295287837474,0,0
21multi,0,-0.10818181818181823,0.6947578632051922,0,0
21multi,1,-0.012108511422254983,0.7049425861208187,0,0
21multi,2,-0.2571428571428572,0.7321161115469652,0,0
21multi,2,-0.21931818181818183,0.6506149866109926,0,0
21multi,0,-0.11515151515151523,0.6347145947745049,0,0
21multi,1,-0.011698599852616093,0.6912131802296555,0,0
21multi,1,-0.009421518054532108,0.7908637044433349,0,0
21multi,2,-0.12916666666666668,0.5167249126310535,0,0
21multi,0,-0.07681818181818183,0.7141787319021469,0,0
21multi,1,-0.0018159806295399785,0.7408886669995007,0,0
21multi,2,-0.25909090909090915,0.7003131666137157,0,0
21multi,0,-0.12102272727272732,0.7455067398901648,0,0
21multi,0,-0.07954545454545456,0.7105591612581128,0,0
21multi,1,-0.015913370998116776,0.7130970211349641,0,0
21multi,2,-0.2669117647058824,0.7335467387154564,0,0
21multi,1,-0.017975576376460713,0.7457741958490836,0,0
21multi,2,-0.2486111111111112,0.6925167803849781,0,0
21multi,0,-0.08787878787878789,0.6555583291729072,0,0
21multi,2,-0.3062500000000001,0.7373939091362957,0,0
21multi,0,-0.08636363636363638,0.6610084872690963,0,0
21multi,1,-0.0073093220338983494,0.7136794807788317,0,0
21multi,0,-0.10206611570247938,0.7447919030545092,0,0
21multi,2,-0.24270833333333333,0.7517473789316026,0,0
21multi,1,-0.019180966417517653,0.6783396334070322,0,0
21multi,2,-0.15000000000000005,0.6248127808287568,0,0
21multi,0,-0.08877005347593586,0.7405068867287303,0,0
21multi,1,-0.006705969049373658,0.7464160901504886,0,0
21multi,0,-0.10833333333333338,0.7609419204526544,0,0
21multi,2,-0.25187500000000007,0.7428107838242638,0,0
21multi,1,-0.011643330876934452,0.6866921839463029,0,0
21multi,0,-0.09280303030303033,0.6941254784489933,0,0
21multi,1,-0.012629669519868538,0.7382003917201121,0,0
21multi,2,-0.2277777777777778,0.6528540522549509,0,0
21multi,1,-0.01402910832719235,0.7123065401897154,0,0
21multi,2,-0.29375,0.7586952903977368,0,0
21multi,0,-0.08787878787878789,0.6946247295723081,0,0
21multi,1,-0.019635224760501134,0.7305042436345482,0,0
21multi,0,-0.1,0.6991512730903645,0,0
21multi,2,-0.17777777777777778,0.6673878071781217,0,0
21multi,0,-0.09090909090909094,0.6927109335996006,0,0
21multi,1,-0.017672912938204038,0.681228157763355,0,0
21multi,2,-0.2532894736842105,0.7300628005360381,0,0
21multi,1,-0.0061317858020142795,0.7882759194541521,0,0
21multi,2,-0.24444444444444446,0.7310423254007878,0,0
21multi,0,-0.10000000000000002,0.6972617996082798,0,0
21multi,0,-0.11553030303030305,0.7341487768347479,0,0
21multi,1,-0.012065384873048847,0.684291744201879,0,0
21multi,2,-0.27656250000000004,0.6950199700449325,0,0
21multi,0,-0.10707070707070711,0.7654074443889721,0,0
21multi,1,-0.02064848931466474,0.6776335496754868,0,0
21multi,2,-0.23035714285714287,0.6568005135154411,0,0
21multi,0,-0.09512987012987015,0.7276228514371299,0,0
21multi,1,-0.013344945400951335,0.6847002223936822,0,0
21multi,2,-0.2855769230769231,0.7637390068743041,0,0
21multi,2,-0.3041666666666667,0.7190048260941921,0,0
21multi,0,-0.10242424242424249,0.7756698285904476,0,0
21multi,1,-0.014718553369990403,0.7107799838703482,0,0
21multi,2,-0.28125000000000006,0.6943751040106507,0,0
21multi,0,-0.09475524475524479,0.679135143438688,0,0
21multi,1,-0.005384777344983739,0.7751943513301477,0,0
21multi,0,-0.10625000000000004,0.7663504742885672,0,0
21multi,1,-0.01787556584903676,0.6965979602025534,0,0
21multi,2,-0.24464285714285716,0.6912131802296556,0,0
21multi,0,-0.11136363636363643,0.7913130304543187,0,0
21multi,1,-0.018033038565463077,0.694749542353137,0,0
21multi,2,-0.24519230769230774,0.7000652866853565,0,0
21multi,2,-0.2965909090909091,0.7591340262333772,0,0
21multi,1,-0.01599115696389096,0.6685596605092361,0,0
21multi,0,-0.10090909090909095,0.7642036944583126,0,0
