method,iteration,violation,accuracy,accuracy_rank,violation_rank
21multi,2,-0.0190005205622072,0.6328742180846378,0,0
21multi,0,-0.0025593322606597274,0.6851285571642537,0,0
21multi,1,-0.01678948661262593,0.655128418483386,0,0
21multi,0,-0.0023230088495575507,0.7599850224663005,0,0
21multi,1,-0.016568410709899284,0.6420369445831252,0,0
21multi,2,-0.006710914454277313,0.5702279913463139,0,0
21multi,2,-0.02718780727630289,0.6422588339712654,0,0
21multi,1,-0.027452889777871376,0.5962128236217105,0,0
21multi,0,-0.0030463931348887474,0.7029122982193378,0,0
21multi,0,-0.0023671019246240734,0.7855140366373516,0,0
21multi,1,-0.034456258553531995,0.617003066828329,0,0
21multi,2,-0.030875122910521167,0.6866921839463029,0,0
21multi,2,-0.023230088495575264,0.6446330504243634,0,0
21multi,0,-0.0018676014251235756,0.6926039512160331,0,0
21multi,1,-0.02270173176123806,0.6746754867698452,0,0
21multi,1,-0.003495762711864428,0.7030703944083876,0,0
21multi,2,-0.027986725663716863,0.7311532700948578,0,0
21multi,0,-0.002306248323947472,0.6450324513230155,0,0
21multi,1,-0.010636207320068777,0.5699783657846563,0,0
21multi,0,-0.0015866630910878908,0.6870804903755476,0,0
21multi,2,-0.015542035398230125,0.6477783325012482,0,0
21multi,2,-0.02933628318584075,0.708537194208687,0,0
21multi,1,-0.017514124293785367,0.72768624840517,0,0
21multi,0,-0.0042477876106195135,0.7500748876684973,0,0
21multi,0,-0.002073429386381947,0.6831570825579812,0,0
21multi,1,-0.02184557438794728,0.6404837188661453,0,0
21multi,2,-0.00595333869670156,0.6233831071574457,0,0
21multi,1,-0.012605932203389889,0.753307538691962,0,0
21multi,2,-0.013053097345132797,0.6495257114328508,0,0
21multi,0,-0.0034593724859212083,0.7933100349475786,0,0
21multi,1,-0.013771186440678013,0.7354801131635879,0,0
21multi,2,-0.017876106194690287,0.643484772840739,0,0
21multi,0,-0.0032984714400643936,0.7287250941769166,0,0
21multi,0,-0.0028267388283478704,0.6783461171878545,0,0
21multi,1,-0.022676071165385836,0.6861850082019828,0,0
21multi,2,-0.022325020112630763,0.6274225026097218,0,0
21multi,1,-0.019249394673123508,0.6968832465587333,0,0
21multi,2,-0.031858407079646045,0.7052278724769988,0,0
21multi,0,-0.004620876910699984,0.6694333499750375,0,0
21multi,1,-0.011233931057070354,0.6872469074166528,0,0
21multi,2,-0.025486725663716882,0.6909635546679981,0,0
21multi,0,-0.0018956154465004232,0.6732401397903145,0,0
21multi,1,-0.02155121591746504,0.7202196704942585,0,0
21multi,2,-0.020879424778761112,0.7024463305042438,0,0
21multi,0,-0.0010816125860373764,0.6329949520164199,0,0
21multi,0,-0.0014849825690533835,0.7410134797803297,0,0
21multi,1,-0.019816998280520765,0.6864702945581627,0,0
21multi,2,-0.024020227560050605,0.7045146565865489,0,0
21multi,0,-0.0015218557253955656,0.7105175569978366,0,0
21multi,1,-0.02897147068112438,0.6684259325297768,0,0
21multi,2,-0.010707964601769936,0.6119820269595608,0,0
21multi,2,-0.01838741396263526,0.7164808343040995,0,0
21multi,1,-0.01747026002737132,0.7199201198202696,0,0
21multi,0,-0.002544247787610643,0.657794558162756,0,0
21multi,0,-0.00328590104585684,0.6981402895656516,0,0
21multi,1,-0.025202652910832738,0.6518683513191751,0,0
21multi,2,-0.02311946902654872,0.7287568647029457,0,0
21multi,2,-0.03384955752212394,0.7488766849725411,0,0
21multi,1,-0.024039957422418736,0.6320519221168248,0,0
21multi,0,-0.003805309734513318,0.5143285072391414,0,0
21multi,1,-0.031991525423728864,0.662755866200699,0,0
21multi,2,-0.019100294985250798,0.6963305042436346,0,0
21multi,0,-0.004681601584256507,0.7105879642075348,0,0
21multi,2,-0.030973451327433663,0.7346202917845454,0,0
21multi,0,-0.0034442880128721237,0.5823140289565651,0,0
21multi,1,-0.015143699336772322,0.6790583355735627,0,0
21multi,0,-0.003286403861625142,0.7138292561158263,0,0
21multi,1,-0.01581613854089907,0.7022279081377933,0,0
21multi,2,-0.020353982300884976,0.5984148776834748,0,0
21multi,2,-0.03192161820480412,0.7480208259040012,0,0
21multi,1,-0.021968394333906516,0.6636711599267766,0,0
21multi,0,-0.00348753016894614,0.77109335996006,0,0
21multi,1,-0.009110169491525447,0.6507738392411384,0,0
21multi,0,-0.0035666398498257357,0.7300715593276752,0,0
21multi,2,-0.028495575221238988,0.7436844732900649,0,0
21multi,0,-0.0018470099222311909,0.621858878349143,0,0
21multi,1,-0.01959201447042277,0.6694957563654518,0,0
21multi,2,-0.014633375474083483,0.6480636188574282,0,0
21multi,1,-0.01548022598870061,0.7564320186387088,0,0
21multi,2,-0.02389380530973459,0.7350224663005492,0,0
21multi,0,-0.0019911504424778848,0.6977450490930273,0,0
21multi,1,-0.026117103235747362,0.7452003812463123,0,0
21multi,2,-0.02857142857142862,0.7453462663148134,0,0
21multi,0,-0.005051622418879113,0.6967049425861207,0,0
21multi,0,-0.001499305200029267,0.6364090228293924,0,0
21multi,1,-0.021549636803874134,0.7425290635475358,0,0
21multi,2,-0.026155358898721757,0.6373772674321851,0,0
21multi,1,-0.02561848615643755,0.6397546537336851,0,0
21multi,2,-0.02091713596138377,0.6592384151046159,0,0
21multi,0,-0.0034414945919371,0.7395573306706608,0,0
21multi,2,-0.02437315634218291,0.6823514727908139,0,0
21multi,0,-0.0027674979887369667,0.6961557663504744,0,0
21multi,1,-0.022144436256448085,0.6751872191712431,0,0
21multi,2,-0.03270648967551628,0.719628889998336,0,0
21multi,0,-0.004797776640093671,0.7091181409703627,0,0
21multi,1,-0.02025476365933259,0.6689608444476143,0,0
21multi,2,-0.02469831053901854,0.6730812871601688,0,0
21multi,1,-0.0048022598870056665,0.7165917789981694,0,0
21multi,0,-0.0026057030481809493,0.7051644755089589,0,0
21multi,1,-0.03273598177798623,0.6099033268279399,0,0
21multi,0,-0.001298701298701323,0.6777690606946724,0,0
21multi,2,-0.02159292035398237,0.7202695956065902,0,0
21multi,2,-0.022418879056047242,0.7611083374937594,0,0
21multi,1,-0.01722717223822606,0.6536104933508826,0,0
21multi,0,-0.001787150902195167,0.7147136438199844,0,0
21multi,0,-0.0031733261821757816,0.7911466134132136,0,0
21multi,2,-0.018311776718856403,0.6813241675947618,0,0
21multi,1,-0.024178334561532833,0.6839241138292562,0,0
21multi,1,-0.014483821263482305,0.7202832115463169,0,0
21multi,0,-0.0033898924888466704,0.6399945536241093,0,0
21multi,2,-0.02284292035398234,0.6754867698452321,0,0
21multi,0,-0.001976784277669262,0.6220668996505242,0,0
21multi,2,-0.02713864306784669,0.6752371442835746,0,0
21multi,1,-0.015496368038740962,0.7066186434633764,0,0
21multi,0,-0.0011615044247787754,0.4728532201697454,0,0
21multi,2,-0.025726927939317357,0.6781613294344198,0,0
21multi,1,-0.021747633354118282,0.6575137294058913,0,0
